test,type,set,targhet_patition,mse,mae,mre
all_data,all_data,train,all_data,6985.136004025272,59.75991765230677,0.3105859485401192
all_data,all_data,dev,all_data,7857.184836318518,62.29032955756784,0.337531587406661
all_data,all_data,test,all_data,7633.247277421368,63.14224512928724,0.3684785714326311
normalization_m_3_r_2,baseline,train,m_3_r_2,5170.601483149666,51.50538404685756,0.2231058814265291
normalization_m_3_r_2,baseline,dev,m_3_r_2,8186.448884025805,62.004006178975104,0.2406736209431325
normalization_m_3_r_2,baseline,test,m_3_r_2,6109.420130562897,53.84563845485449,0.2752716114800365
normalization_m_4_r_2,baseline,train,m_4_r_2,8094.295300130802,64.25151657648695,0.241265782572036
normalization_m_4_r_2,baseline,dev,m_4_r_2,8429.032527059298,64.25872778862714,0.2411516144772315
normalization_m_4_r_2,baseline,test,m_4_r_2,7523.966372357117,60.40074331998825,0.2315435740800414
normalization_m_4_r_3,baseline,train,m_4_r_3,14437.191619935653,91.20527315733798,0.5084478351260918
normalization_m_4_r_3,baseline,dev,m_4_r_3,16862.849657327817,96.66916058540345,0.4863941801629785
normalization_m_4_r_3,baseline,test,m_4_r_3,14616.131574471168,91.39800378084183,0.5631152951365995
normalization_m_5_r_3,baseline,train,m_5_r_3,14050.04553493596,89.9980540248224,0.4838546482393813
normalization_m_5_r_3,baseline,dev,m_5_r_3,13782.95312847156,89.41669748306275,0.4743803858979174
normalization_m_5_r_3,baseline,test,m_5_r_3,11262.467721376986,78.21387273192406,0.4764105939185655
normalization_m_5_r_4,baseline,train,m_5_r_4,14658.535248616436,94.68233223586654,0.6423327260885672
normalization_m_5_r_4,baseline,dev,m_5_r_4,14166.404181464142,92.342410800457,0.6147233065901682
normalization_m_5_r_4,baseline,test,m_5_r_4,14490.87232133586,95.33735933303834,0.8154575549452906
